Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Male,51.0,1,28.0,0,1-2 Year,Yes,62125.0,122.0,206,0
Female,27.0,1,46.0,1,< 1 Year,No,2630.0,160.0,43,0
Male,25.0,1,8.0,1,< 1 Year,No,79221.0,152.0,43,0
Male,25.0,1,8.0,1,< 1 Year,No,67962.0,152.0,235,0
Male,28.0,1,41.0,1,< 1 Year,No,33148.0,152.0,188,0
Female,51.0,1,28.0,0,1-2 Year,Yes,39123.0,122.0,44,0
Male,39.0,1,50.0,1,1-2 Year,No,28999.0,18.0,63,0
Male,41.0,1,41.0,0,1-2 Year,Yes,22841.0,124.0,81,1
Male,71.0,1,28.0,1,1-2 Year,No,28163.0,26.0,242,0
Male,20.0,1,27.0,0,< 1 Year,Yes,27329.0,160.0,50,0
Female,29.0,1,35.0,1,< 1 Year,Yes,29300.0,152.0,265,0
Male,61.0,1,29.0,1,1-2 Year,No,33351.0,26.0,239,0
Female,21.0,1,15.0,1,< 1 Year,No,25787.0,160.0,245,0
Male,22.0,1,24.0,0,< 1 Year,Yes,2630.0,152.0,228,0
Female,21.0,1,2.0,1,< 1 Year,Yes,27615.0,160.0,12,0
Female,21.0,1,3.0,1,< 1 Year,No,21317.0,152.0,13,0
Female,27.0,1,35.0,1,< 1 Year,No,30020.0,152.0,182,0
Female,23.0,1,11.0,1,< 1 Year,No,34955.0,152.0,228,0
Female,42.0,1,28.0,0,1-2 Year,Yes,43426.0,24.0,27,0
Female,24.0,1,9.0,0,< 1 Year,Yes,2630.0,152.0,129,0
Male,41.0,1,28.0,1,1-2 Year,No,2630.0,24.0,219,0
Male,31.0,1,35.0,1,< 1 Year,No,28986.0,152.0,22,0
Female,23.0,1,35.0,1,< 1 Year,No,37309.0,152.0,185,0
Male,29.0,1,28.0,0,< 1 Year,Yes,28235.0,152.0,283,0
Male,44.0,1,29.0,0,1-2 Year,No,32756.0,61.0,294,0
Male,40.0,1,40.0,0,1-2 Year,Yes,34050.0,155.0,134,1
Male,33.0,1,8.0,0,< 1 Year,No,46600.0,152.0,72,0
Male,49.0,1,50.0,0,1-2 Year,Yes,2630.0,124.0,192,0
Male,64.0,1,23.0,1,1-2 Year,No,31282.0,26.0,70,0
Female,26.0,1,10.0,1,< 1 Year,No,30531.0,152.0,247,0
Female,73.0,1,28.0,0,1-2 Year,Yes,43173.0,26.0,270,0
Male,20.0,1,7.0,1,< 1 Year,No,38723.0,160.0,46,0
Female,48.0,1,28.0,0,1-2 Year,Yes,54676.0,26.0,242,0
Male,49.0,1,28.0,0,1-2 Year,Yes,48105.0,124.0,135,1
Male,72.0,1,28.0,0,1-2 Year,Yes,33294.0,124.0,142,0
Male,52.0,1,28.0,0,1-2 Year,Yes,27428.0,26.0,80,0
Female,63.0,1,45.0,0,1-2 Year,Yes,38924.0,26.0,240,0
Male,25.0,1,50.0,1,< 1 Year,No,26630.0,152.0,181,0
Female,50.0,1,47.0,0,1-2 Year,Yes,29287.0,156.0,117,1
Female,22.0,1,28.0,0,< 1 Year,Yes,54087.0,152.0,75,0
Male,40.0,1,28.0,0,1-2 Year,Yes,29329.0,26.0,59,1
Female,22.0,1,46.0,1,< 1 Year,No,21549.0,152.0,77,0
Female,46.0,1,8.0,0,> 2 Years,Yes,45439.0,26.0,267,1
Male,31.0,1,3.0,0,1-2 Year,Yes,37862.0,124.0,84,0
Female,27.0,1,8.0,1,< 1 Year,No,29814.0,152.0,121,0
Female,32.0,1,46.0,0,1-2 Year,Yes,27617.0,124.0,286,0
Male,56.0,1,12.0,0,> 2 Years,Yes,34675.0,26.0,55,1
Male,24.0,1,28.0,1,< 1 Year,No,46069.0,152.0,158,0
Male,25.0,1,41.0,1,< 1 Year,No,21475.0,160.0,271,0
Male,63.0,1,5.0,1,1-2 Year,No,2630.0,26.0,240,0
Female,24.0,1,33.0,0,< 1 Year,Yes,31575.0,152.0,194,1
Female,25.0,1,37.0,0,< 1 Year,Yes,29436.0,160.0,13,0
Male,44.0,1,45.0,0,1-2 Year,Yes,28272.0,124.0,296,0
Female,37.0,1,46.0,0,1-2 Year,Yes,34668.0,124.0,29,0
Male,44.0,1,11.0,0,1-2 Year,No,30002.0,124.0,65,0
Female,24.0,1,37.0,1,< 1 Year,No,26659.0,152.0,42,0
Female,26.0,1,28.0,1,< 1 Year,No,75002.0,26.0,198,0
Male,22.0,1,7.0,1,< 1 Year,No,21004.0,152.0,252,0
Female,57.0,1,8.0,0,1-2 Year,Yes,46850.0,160.0,196,0
Male,61.0,1,28.0,0,1-2 Year,Yes,50958.0,30.0,285,0
Female,22.0,1,41.0,0,< 1 Year,No,27086.0,152.0,14,0
Male,40.0,1,46.0,0,1-2 Year,Yes,24771.0,124.0,294,0
Male,23.0,1,31.0,1,< 1 Year,No,2630.0,152.0,206,0
Male,22.0,1,47.0,0,< 1 Year,Yes,35332.0,152.0,60,0
Male,46.0,1,13.0,1,1-2 Year,No,29558.0,26.0,34,0
Female,28.0,1,28.0,1,< 1 Year,No,44046.0,152.0,56,0
Male,24.0,1,30.0,0,< 1 Year,Yes,2630.0,152.0,193,1
Female,23.0,1,46.0,1,< 1 Year,No,2630.0,152.0,82,0
Female,20.0,1,30.0,0,< 1 Year,Yes,34390.0,160.0,172,0
Male,52.0,1,28.0,0,1-2 Year,Yes,45501.0,26.0,267,1
Male,21.0,1,50.0,1,< 1 Year,No,38731.0,160.0,217,0
Male,46.0,1,1.0,1,1-2 Year,No,2630.0,124.0,129,0
Male,24.0,1,46.0,1,< 1 Year,No,20690.0,152.0,292,0
Female,23.0,1,29.0,1,< 1 Year,No,19897.0,151.0,215,0
Female,47.0,1,28.0,0,1-2 Year,Yes,2630.0,26.0,137,0
Female,35.0,1,28.0,0,1-2 Year,Yes,26353.0,4.0,276,0
Male,53.0,1,8.0,1,1-2 Year,No,49503.0,124.0,281,0
Male,32.0,1,5.0,0,1-2 Year,Yes,2630.0,156.0,156,0
Female,23.0,1,14.0,1,< 1 Year,No,25354.0,152.0,79,0
Female,43.0,1,28.0,1,1-2 Year,No,40843.0,26.0,249,0
Female,36.0,1,48.0,0,1-2 Year,Yes,2630.0,124.0,221,0
Female,23.0,1,41.0,1,< 1 Year,No,30925.0,152.0,44,0
Female,64.0,1,46.0,0,1-2 Year,Yes,38383.0,124.0,54,0
Female,37.0,1,46.0,0,1-2 Year,Yes,41407.0,152.0,275,0
Male,56.0,1,8.0,0,1-2 Year,Yes,2630.0,26.0,245,0
Male,26.0,1,37.0,0,< 1 Year,No,44997.0,152.0,262,0
Female,22.0,1,28.0,0,< 1 Year,Yes,40012.0,152.0,132,0
Male,47.0,1,28.0,0,1-2 Year,Yes,36425.0,26.0,129,1
Female,21.0,1,22.0,1,< 1 Year,No,26419.0,152.0,194,0
Male,22.0,1,35.0,1,< 1 Year,No,28983.0,152.0,44,0
Male,52.0,1,13.0,0,1-2 Year,Yes,31733.0,124.0,42,0
Female,21.0,1,28.0,1,< 1 Year,No,25365.0,160.0,233,0
Male,32.0,1,15.0,1,< 1 Year,No,38668.0,152.0,144,0
Male,25.0,1,27.0,0,< 1 Year,Yes,40379.0,152.0,160,0
Male,73.0,1,43.0,0,1-2 Year,Yes,35986.0,26.0,276,0
Male,56.0,1,33.0,0,> 2 Years,Yes,43117.0,138.0,272,1
Male,49.0,1,23.0,0,1-2 Year,Yes,41680.0,26.0,13,0
Female,40.0,1,25.0,0,1-2 Year,Yes,24364.0,124.0,125,0
Female,58.0,1,28.0,0,1-2 Year,Yes,44149.0,124.0,279,0
Female,23.0,1,28.0,1,< 1 Year,No,32702.0,152.0,240,0
Female,23.0,1,47.0,0,< 1 Year,Yes,29952.0,26.0,90,0
Male,27.0,1,28.0,1,< 1 Year,No,31752.0,152.0,168,0
Male,21.0,1,21.0,1,< 1 Year,No,26230.0,152.0,286,0
Female,41.0,1,37.0,0,1-2 Year,Yes,2630.0,152.0,95,0
Female,24.0,1,21.0,1,< 1 Year,No,27312.0,152.0,109,0
Male,50.0,1,28.0,0,1-2 Year,Yes,44918.0,154.0,179,0
Female,41.0,1,28.0,0,1-2 Year,Yes,32793.0,26.0,283,0
Male,40.0,1,46.0,0,1-2 Year,Yes,29324.0,124.0,134,0
Male,27.0,1,6.0,1,< 1 Year,No,19749.0,26.0,38,0
Male,25.0,1,6.0,1,< 1 Year,Yes,2630.0,152.0,88,0
Female,48.0,1,48.0,1,1-2 Year,No,2630.0,26.0,90,0
Male,78.0,1,11.0,0,1-2 Year,Yes,42134.0,26.0,204,0
Male,37.0,1,28.0,0,1-2 Year,Yes,41412.0,26.0,118,0
Male,38.0,1,45.0,1,1-2 Year,No,23177.0,107.0,139,0
Female,22.0,1,48.0,0,< 1 Year,Yes,2630.0,152.0,190,0
Male,23.0,1,8.0,0,< 1 Year,No,2630.0,152.0,221,0
Female,58.0,1,28.0,0,> 2 Years,Yes,64802.0,26.0,95,0
Female,25.0,1,28.0,0,< 1 Year,No,2630.0,152.0,231,0
Female,25.0,1,18.0,1,< 1 Year,No,51217.0,152.0,105,0
Male,20.0,1,15.0,0,< 1 Year,Yes,34278.0,160.0,78,0
Male,39.0,1,8.0,0,1-2 Year,Yes,33888.0,124.0,151,1
Female,42.0,1,0.0,0,1-2 Year,No,2630.0,61.0,185,0
Female,38.0,1,8.0,0,1-2 Year,Yes,47713.0,26.0,219,0
Female,28.0,1,33.0,1,< 1 Year,No,2630.0,152.0,91,0
Male,38.0,1,28.0,0,1-2 Year,Yes,2630.0,26.0,32,0
Female,60.0,1,28.0,0,1-2 Year,Yes,56063.0,26.0,31,1
Female,21.0,1,46.0,1,< 1 Year,No,27731.0,152.0,216,0
Female,36.0,1,39.0,0,1-2 Year,Yes,27417.0,154.0,114,0
Male,43.0,1,8.0,0,1-2 Year,Yes,45245.0,124.0,137,0
Female,39.0,1,40.0,0,1-2 Year,Yes,2630.0,157.0,59,0
Male,42.0,1,29.0,0,1-2 Year,Yes,2630.0,157.0,252,0
Female,67.0,1,28.0,1,1-2 Year,No,49574.0,26.0,218,0
Female,50.0,1,8.0,0,1-2 Year,Yes,54974.0,26.0,145,0
Male,52.0,1,28.0,0,1-2 Year,Yes,33250.0,124.0,127,0
Female,30.0,1,11.0,0,< 1 Year,Yes,36445.0,152.0,162,0
Female,69.0,1,28.0,0,> 2 Years,Yes,51233.0,122.0,153,0
Male,24.0,1,28.0,1,< 1 Year,No,54825.0,152.0,29,0
Female,24.0,1,36.0,1,< 1 Year,No,2630.0,152.0,94,0
Male,38.0,1,28.0,0,1-2 Year,No,52490.0,124.0,116,0
Female,22.0,1,50.0,0,< 1 Year,No,35279.0,152.0,114,0
Female,38.0,1,28.0,0,1-2 Year,Yes,25304.0,55.0,266,0
Female,25.0,1,8.0,1,< 1 Year,No,28411.0,26.0,123,0
Male,24.0,1,30.0,1,< 1 Year,No,20484.0,152.0,190,0
Male,52.0,1,3.0,0,1-2 Year,Yes,22251.0,26.0,82,0
Male,22.0,1,37.0,0,< 1 Year,Yes,30622.0,152.0,281,0
Male,71.0,1,28.0,0,> 2 Years,Yes,57471.0,122.0,261,0
Female,20.0,1,45.0,0,< 1 Year,Yes,42184.0,156.0,131,0
Male,58.0,1,30.0,1,1-2 Year,No,26400.0,152.0,102,0
Female,28.0,1,18.0,1,< 1 Year,No,33227.0,153.0,52,0
Female,27.0,1,8.0,1,< 1 Year,No,31934.0,152.0,148,0
Male,61.0,1,46.0,0,1-2 Year,Yes,23227.0,11.0,288,0
Female,23.0,1,46.0,1,< 1 Year,No,28342.0,152.0,86,0
Male,46.0,1,33.0,0,1-2 Year,Yes,52694.0,155.0,48,0
Female,31.0,1,28.0,1,< 1 Year,No,41877.0,152.0,201,0
Female,42.0,1,46.0,0,1-2 Year,Yes,55132.0,124.0,133,1
Female,49.0,1,28.0,0,1-2 Year,Yes,54277.0,26.0,199,0
Female,51.0,1,8.0,0,> 2 Years,Yes,45381.0,26.0,25,1
Male,74.0,1,3.0,0,> 2 Years,Yes,2630.0,26.0,271,0
Male,23.0,1,37.0,1,< 1 Year,No,22728.0,152.0,277,0
Male,51.0,1,9.0,1,1-2 Year,No,25809.0,26.0,158,0
Male,48.0,1,28.0,0,> 2 Years,Yes,29907.0,124.0,268,0
Male,49.0,1,28.0,0,1-2 Year,Yes,28131.0,26.0,201,0
Male,57.0,1,11.0,0,1-2 Year,Yes,32829.0,26.0,36,0
Male,39.0,1,15.0,0,1-2 Year,Yes,27095.0,124.0,11,1
Male,23.0,1,36.0,0,< 1 Year,Yes,24801.0,152.0,193,0
Male,22.0,1,8.0,1,< 1 Year,No,48556.0,152.0,86,0
Female,43.0,1,50.0,0,1-2 Year,Yes,36440.0,124.0,189,1
Male,57.0,1,39.0,0,> 2 Years,Yes,32956.0,124.0,48,0
Male,61.0,1,41.0,0,1-2 Year,Yes,2630.0,26.0,44,1
Female,36.0,1,47.0,1,1-2 Year,No,30069.0,152.0,244,0
Female,42.0,1,28.0,0,1-2 Year,Yes,32543.0,124.0,69,0
Female,24.0,1,15.0,1,< 1 Year,No,40250.0,152.0,231,0
Male,24.0,1,12.0,0,< 1 Year,Yes,24265.0,152.0,131,0
Male,42.0,1,8.0,0,1-2 Year,Yes,44181.0,124.0,93,0
Female,69.0,1,28.0,0,> 2 Years,Yes,37840.0,26.0,140,0
Male,71.0,1,28.0,0,> 2 Years,Yes,40147.0,26.0,136,0
Male,35.0,1,48.0,0,1-2 Year,Yes,2630.0,124.0,206,0
Male,26.0,1,2.0,1,< 1 Year,No,2630.0,160.0,254,0
Female,29.0,1,45.0,0,< 1 Year,Yes,29252.0,160.0,190,0
Male,71.0,1,50.0,0,1-2 Year,Yes,51213.0,25.0,223,0
Male,43.0,1,8.0,1,1-2 Year,No,33405.0,26.0,173,0
Female,21.0,1,50.0,0,< 1 Year,No,29351.0,152.0,291,0
Male,28.0,1,41.0,1,< 1 Year,No,25038.0,152.0,186,0
Male,26.0,1,35.0,1,< 1 Year,No,18318.0,152.0,266,0
Female,25.0,1,8.0,1,< 1 Year,No,38261.0,152.0,121,0
Male,45.0,1,28.0,0,1-2 Year,Yes,43357.0,124.0,282,0
Female,25.0,1,46.0,0,< 1 Year,Yes,21107.0,152.0,96,0
Male,21.0,1,28.0,0,1-2 Year,Yes,22765.0,124.0,15,0
Female,23.0,1,18.0,1,< 1 Year,No,18797.0,152.0,130,0
Male,62.0,1,14.0,1,1-2 Year,No,25988.0,26.0,42,0
Female,26.0,1,36.0,1,< 1 Year,No,36353.0,152.0,113,0
Female,23.0,1,41.0,0,1-2 Year,No,46082.0,124.0,97,0
Male,22.0,1,8.0,1,< 1 Year,No,33756.0,160.0,10,0
Female,22.0,1,8.0,1,< 1 Year,No,49364.0,152.0,30,0
Female,22.0,1,24.0,1,< 1 Year,No,26751.0,152.0,70,0
Male,21.0,1,3.0,1,< 1 Year,No,35849.0,160.0,196,0
Male,22.0,1,30.0,0,< 1 Year,Yes,26324.0,152.0,139,0
Male,26.0,1,15.0,1,< 1 Year,No,37467.0,152.0,83,0
Female,47.0,1,24.0,1,1-2 Year,No,36111.0,145.0,122,0
Male,51.0,1,28.0,0,1-2 Year,Yes,2630.0,124.0,71,0
Female,26.0,1,46.0,1,< 1 Year,No,2630.0,152.0,146,0
Female,22.0,1,41.0,1,< 1 Year,No,24017.0,152.0,282,0
Female,30.0,1,21.0,0,< 1 Year,Yes,18323.0,160.0,22,0
Male,27.0,1,41.0,1,< 1 Year,No,31660.0,152.0,216,0
Female,42.0,1,41.0,0,1-2 Year,Yes,47143.0,12.0,46,0
Female,26.0,1,33.0,1,< 1 Year,No,24553.0,152.0,287,0
Male,31.0,1,39.0,1,< 1 Year,No,36410.0,152.0,224,0
Female,43.0,1,28.0,0,1-2 Year,Yes,22618.0,124.0,46,0
Female,38.0,1,9.0,1,1-2 Year,No,27666.0,124.0,153,0
Female,38.0,1,8.0,0,1-2 Year,Yes,34846.0,7.0,11,1
Male,20.0,1,11.0,0,< 1 Year,Yes,30899.0,160.0,167,0
Male,55.0,1,28.0,1,1-2 Year,No,47671.0,62.0,286,0
Male,58.0,1,28.0,1,1-2 Year,Yes,33235.0,26.0,94,0
Female,73.0,1,46.0,1,1-2 Year,No,31345.0,122.0,181,0
Female,27.0,1,3.0,0,< 1 Year,Yes,32463.0,152.0,186,0
Female,21.0,1,50.0,1,< 1 Year,No,39343.0,160.0,81,0
Male,49.0,1,50.0,0,1-2 Year,Yes,31712.0,8.0,70,0
Male,35.0,1,11.0,0,1-2 Year,Yes,2630.0,157.0,264,0
Male,74.0,1,28.0,0,1-2 Year,Yes,37755.0,122.0,30,0
Female,41.0,1,2.0,1,1-2 Year,No,44311.0,29.0,224,0
Male,56.0,1,29.0,0,1-2 Year,Yes,68319.0,122.0,233,1
Male,51.0,1,30.0,1,1-2 Year,Yes,2630.0,124.0,131,0
Female,23.0,1,36.0,1,< 1 Year,No,41585.0,152.0,169,0
Female,23.0,1,11.0,1,< 1 Year,No,38164.0,152.0,164,0
Female,26.0,1,13.0,0,< 1 Year,Yes,24760.0,152.0,105,0
Female,23.0,1,3.0,1,< 1 Year,No,29849.0,152.0,217,0
Female,26.0,1,28.0,0,< 1 Year,Yes,2630.0,152.0,14,0
Female,65.0,1,28.0,1,1-2 Year,No,2630.0,124.0,125,0
Male,38.0,1,28.0,0,1-2 Year,Yes,39706.0,124.0,11,0
Male,51.0,1,11.0,0,1-2 Year,Yes,2630.0,156.0,196,0
Male,23.0,1,5.0,0,< 1 Year,Yes,26351.0,152.0,198,0
Male,25.0,1,29.0,1,< 1 Year,No,48164.0,152.0,46,0
Female,56.0,1,28.0,1,1-2 Year,No,37377.0,26.0,208,0
Male,67.0,1,0.0,0,1-2 Year,Yes,2630.0,55.0,182,0
Male,21.0,1,45.0,1,< 1 Year,No,43735.0,152.0,233,0
Male,24.0,1,36.0,0,< 1 Year,Yes,31279.0,151.0,189,1
Male,61.0,1,15.0,0,1-2 Year,Yes,2630.0,26.0,226,0
Female,42.0,1,47.0,1,1-2 Year,No,23322.0,151.0,299,0
Male,28.0,1,28.0,0,1-2 Year,Yes,58244.0,26.0,276,1
Male,51.0,1,46.0,1,1-2 Year,Yes,20647.0,26.0,138,0
Female,26.0,1,4.0,1,< 1 Year,No,32095.0,152.0,95,0
Female,45.0,1,8.0,0,1-2 Year,Yes,42935.0,7.0,278,0
Male,44.0,1,47.0,0,1-2 Year,Yes,46481.0,16.0,100,0
Male,57.0,1,28.0,0,1-2 Year,Yes,30576.0,26.0,285,0
Male,61.0,1,46.0,0,1-2 Year,Yes,2630.0,160.0,267,0
Male,42.0,1,46.0,0,1-2 Year,Yes,2630.0,157.0,112,0
Female,36.0,1,28.0,0,1-2 Year,Yes,43735.0,124.0,278,1
Female,46.0,1,43.0,0,> 2 Years,Yes,39430.0,26.0,145,0
Female,58.0,1,28.0,0,1-2 Year,Yes,49916.0,26.0,87,0
Male,46.0,1,47.0,0,> 2 Years,Yes,37758.0,124.0,298,0
Male,30.0,1,28.0,0,1-2 Year,Yes,36597.0,124.0,190,0
Female,27.0,1,28.0,0,< 1 Year,Yes,39173.0,26.0,15,0
Female,23.0,1,47.0,0,< 1 Year,Yes,36483.0,151.0,185,0
Female,67.0,1,25.0,0,1-2 Year,Yes,2630.0,26.0,247,0
Male,58.0,1,8.0,1,1-2 Year,No,46361.0,124.0,287,0
Female,42.0,1,28.0,0,1-2 Year,Yes,46471.0,26.0,158,0
Male,42.0,1,28.0,0,1-2 Year,No,23227.0,124.0,186,0
Female,27.0,1,40.0,1,< 1 Year,No,2630.0,152.0,276,0
Male,22.0,1,41.0,0,< 1 Year,Yes,26771.0,152.0,95,0
Male,63.0,1,28.0,0,1-2 Year,Yes,66744.0,122.0,241,1
Female,38.0,1,28.0,1,1-2 Year,No,33224.0,26.0,78,0
Male,60.0,1,46.0,0,1-2 Year,Yes,34883.0,11.0,62,0
Male,22.0,1,6.0,1,< 1 Year,No,32077.0,152.0,48,0
Female,63.0,1,50.0,0,1-2 Year,Yes,33661.0,8.0,113,0
Female,49.0,1,8.0,0,1-2 Year,Yes,40463.0,156.0,166,0
Female,47.0,1,28.0,0,1-2 Year,Yes,30267.0,125.0,249,0
Female,25.0,1,33.0,1,< 1 Year,No,45625.0,151.0,168,0
Female,21.0,1,8.0,1,< 1 Year,No,2630.0,152.0,78,0
Male,51.0,1,11.0,0,1-2 Year,Yes,2630.0,156.0,226,1
Male,56.0,1,28.0,0,1-2 Year,Yes,38524.0,122.0,197,1
Male,56.0,1,33.0,1,1-2 Year,No,30595.0,26.0,91,0
Female,70.0,1,28.0,1,1-2 Year,No,32607.0,26.0,193,0
Female,28.0,1,46.0,1,< 1 Year,No,37887.0,152.0,28,0
Male,28.0,1,21.0,1,< 1 Year,No,24081.0,152.0,146,0
Female,32.0,1,32.0,0,1-2 Year,No,2630.0,124.0,81,0
Male,27.0,1,47.0,0,< 1 Year,Yes,27622.0,152.0,217,0
Male,53.0,1,9.0,1,1-2 Year,No,2630.0,26.0,136,0
Female,38.0,1,28.0,0,1-2 Year,Yes,36475.0,13.0,104,0
Female,39.0,1,14.0,0,1-2 Year,Yes,2630.0,156.0,15,1
Female,38.0,1,14.0,0,1-2 Year,Yes,12298.0,26.0,51,0
Male,25.0,1,47.0,0,< 1 Year,No,43325.0,152.0,162,0
Male,30.0,1,35.0,1,< 1 Year,No,38656.0,152.0,31,0
Female,50.0,1,48.0,0,1-2 Year,Yes,2630.0,124.0,101,0
Female,63.0,1,8.0,0,1-2 Year,No,38071.0,26.0,163,0
Female,45.0,1,28.0,0,1-2 Year,No,31098.0,124.0,47,0
Female,41.0,1,48.0,0,1-2 Year,Yes,2630.0,15.0,122,0
Male,55.0,1,3.0,0,> 2 Years,Yes,2630.0,26.0,76,0
Male,43.0,1,28.0,0,> 2 Years,Yes,43300.0,124.0,34,1
Male,37.0,1,31.0,1,1-2 Year,No,2630.0,124.0,202,0
Male,78.0,1,43.0,0,> 2 Years,Yes,2630.0,26.0,278,1
Male,63.0,1,8.0,1,> 2 Years,Yes,46008.0,124.0,20,0
Female,43.0,1,43.0,1,> 2 Years,Yes,34555.0,124.0,65,0
Female,27.0,1,18.0,0,< 1 Year,Yes,2630.0,152.0,116,0
Male,25.0,1,17.0,1,< 1 Year,No,42673.0,152.0,94,0
Female,21.0,1,40.0,1,< 1 Year,No,29141.0,153.0,201,0
Male,48.0,1,0.0,0,1-2 Year,Yes,2630.0,26.0,238,0
Female,37.0,1,28.0,1,1-2 Year,No,72544.0,124.0,111,0
Male,49.0,1,28.0,0,1-2 Year,Yes,53863.0,26.0,65,1
Male,25.0,1,18.0,1,< 1 Year,No,2630.0,152.0,128,0
Male,29.0,1,28.0,0,< 1 Year,Yes,51521.0,152.0,204,0
Female,21.0,1,8.0,1,< 1 Year,No,86608.0,160.0,75,0
Female,25.0,1,36.0,1,< 1 Year,No,31564.0,152.0,225,0
Female,52.0,1,47.0,0,> 2 Years,Yes,37519.0,124.0,146,0
Male,33.0,1,31.0,0,< 1 Year,Yes,2630.0,124.0,279,1
Female,22.0,1,2.0,1,< 1 Year,No,2630.0,26.0,210,0
Male,45.0,1,8.0,1,1-2 Year,No,48220.0,124.0,115,0
Male,55.0,1,35.0,0,1-2 Year,Yes,2630.0,156.0,15,1
Male,33.0,1,34.0,1,< 1 Year,No,32559.0,152.0,126,0
Male,22.0,1,30.0,1,< 1 Year,No,30418.0,152.0,257,0
Female,25.0,1,39.0,1,< 1 Year,No,44146.0,152.0,266,0
Female,52.0,1,28.0,0,1-2 Year,Yes,29730.0,26.0,86,0
Female,24.0,1,17.0,0,< 1 Year,Yes,68903.0,152.0,247,0
Male,41.0,1,41.0,0,1-2 Year,Yes,33531.0,26.0,144,0
Female,29.0,1,30.0,1,< 1 Year,No,23004.0,152.0,289,0
Male,39.0,1,30.0,1,1-2 Year,No,30944.0,152.0,294,0
Female,28.0,1,41.0,1,< 1 Year,No,28826.0,152.0,254,0
Female,74.0,1,28.0,0,1-2 Year,Yes,48910.0,122.0,21,0
Male,59.0,1,22.0,0,> 2 Years,Yes,30923.0,124.0,104,0
Female,31.0,1,33.0,1,< 1 Year,No,39150.0,132.0,85,0
Male,52.0,1,40.0,0,1-2 Year,No,26774.0,124.0,248,0
Female,29.0,1,50.0,1,< 1 Year,No,28315.0,152.0,146,0
Male,51.0,1,28.0,0,1-2 Year,Yes,58324.0,26.0,108,0
Male,65.0,1,45.0,1,1-2 Year,No,30347.0,26.0,134,0
Male,36.0,1,36.0,1,1-2 Year,Yes,2630.0,156.0,63,0
Female,45.0,1,28.0,1,1-2 Year,No,44902.0,26.0,289,0
Male,24.0,1,25.0,1,< 1 Year,No,49513.0,152.0,185,0
Female,22.0,1,41.0,1,< 1 Year,No,49167.0,152.0,26,0
Male,23.0,1,11.0,1,< 1 Year,No,27825.0,152.0,193,0
Female,46.0,1,28.0,0,1-2 Year,Yes,32229.0,124.0,240,0
Male,49.0,1,28.0,0,> 2 Years,Yes,43972.0,26.0,71,1
Male,46.0,1,28.0,0,1-2 Year,Yes,57079.0,26.0,203,1
Female,61.0,1,41.0,0,1-2 Year,Yes,30554.0,26.0,41,1
Male,23.0,1,28.0,0,< 1 Year,Yes,38317.0,152.0,198,0
Male,42.0,1,28.0,0,1-2 Year,Yes,31447.0,26.0,65,0
Male,24.0,1,6.0,1,< 1 Year,No,30045.0,152.0,157,0
Male,25.0,1,46.0,0,< 1 Year,Yes,29250.0,152.0,288,0
Male,48.0,1,3.0,0,1-2 Year,Yes,37412.0,26.0,180,1
